,website_path,course_title,location,holes,courses
69,https://foreupsoftware.com/index.php/booking/19557#/welcome,Hickory Hill Golf Course,"200 North Lowell Street Methuen, MA 01844 USA ","9, 18, Both","[{'course_id': '1829', 'course_name': 'Hickory Hill Golf Course'}]"
70,https://foreupsoftware.com/index.php/booking/19351#/welcome,Hillcrest Golf Club (SK),"PO Box 277 (1599 Main St N) Moose Jaw , SK S6H 4N9 CA ",,"[{'course_id': '1479', 'course_name': 'Hillcrest'}]"
71,https://foreupsoftware.com/index.php/booking/19634#/welcome,Hobbit's Glen Golf Club (DEMO),"11130 Willow Bottom Drive Columbia, MD 84057 USA ","9, 18","[{'course_id': '1978', 'course_name': 'Genesee Valley'}]"
72,https://foreupsoftware.com/index.php/booking/19377#/welcome,Hunters Creek Golf,"702 Hunters Creek Blvd Greenwood, SC 29649 USA ","9, 18","[{'course_id': '1549', 'course_name': ""Hunter's Creek""}]"
73,https://foreupsoftware.com/index.php/booking/19395#/welcome,Indian Creek Golf Course,"3605 Brookside Drive Hood River, OR 97031 USA ",18,"[{'course_id': '1563', 'course_name': 'Indian Creek'}]"
74,https://foreupsoftware.com/index.php/booking/19715#/welcome,Inshalla Country Club,"N11060 Clear Lake Rd Tomahawk, WI 54487 USA ",,"[{'course_id': '2251', 'course_name': 'Inshalla Country Club'}]"
75,https://foreupsoftware.com/index.php/booking/19048#/welcome,Ironwood Golf Club,"10955 Fall Road Fishers, IN 46037 USA ",18,"[{'course_id': '1411', 'course_name': 'Ironwood 18'}, {'course_id': ' 1412', 'course_name': ' Ironwood 9'}]"
76,https://foreupsoftware.com/index.php/booking/19479#/welcome,Island Pines Golf Club,"5700 Indian Pines Blvd Ft. Pierce, FL 34951 USA ","9, 18","[{'course_id': '1719', 'course_name': 'Island Pines Golf Club'}]"
77,https://foreupsoftware.com/index.php/booking/19727#/welcome,Kilmarlic Golf Club,"215 Westside Lane Powell's Point, NC 27966 USA ","9, 18","[{'course_id': '2312', 'course_name': 'Kilmarlic Golf Club'}]"
78,https://foreupsoftware.com/index.php/booking/19742#/welcome,King City Golf Course,"15355 SW Royalty Pkwy King City, OR 97224 USA ","9, 18","[{'course_id': '2376', 'course_name': 'King City Golf Course'}]"
79,https://foreupsoftware.com/index.php/booking/19837#/welcome,K's Creek Golf Club,"1265 Sandusky Rd Jacksonville, IL 62650 USA ","9, 18, Both","[{'course_id': '9052', 'course_name': 'Simulator Bay 2'}, {'course_id': ' 9053', 'course_name': ' Simulator Bay 3'}]"
80,https://foreupsoftware.com/index.php/booking/19352#/welcome,Lake Almanor Country Club,"951 Clifford Dr. Lake Almanor, CA 96137 USA ","9, 18","[{'course_id': '1480', 'course_name': 'Lake Almanor Country Club'}]"
81,https://foreupsoftware.com/index.php/booking/19505#/welcome,Lake Hallie Golf,"2196 110th St Chippewa Falls, WI 54729 USA ","9, 18, Both","[{'course_id': '1768', 'course_name': 'Lake Hallie Golf Club'}]"
82,https://foreupsoftware.com/index.php/booking/19450#/welcome,Lake Oswego Public Golf Course,"17525 Stafford Road Lake Oswego, OR 97034 USA ","9, 18","[{'course_id': '1660', 'course_name': 'Lake Oswego Public Golf Course'}, {'course_id': ' 3135', 'course_name': ' New Tee Sheet'}]"
83,https://foreupsoftware.com/index.php/booking/19345#/welcome,Lake St. Catherine Country Club,"2395 VT-30 Poultney, VT 05764 USA ",,"[{'course_id': '1466', 'course_name': 'Lake St. Catherine'}]"
84,https://foreupsoftware.com/index.php/booking/19157#/welcome,Lake Toccoa Facilities,"201 Black Mountain Road Toccoa, GA 30577 USA ",,"[{'course_id': '1201', 'course_name': 'April 1 - October 1'}, {'course_id': ' 1189', 'course_name': ' Lake Toccoa'}, {'course_id': ' 10830', 'course_name': ' Winter'}]"
85,https://foreupsoftware.com/index.php/booking/19446#/welcome,Lake Wales Country Club,"2925 Highway 60 East Lake Wales, FL 33898 USA ","9, 18","[{'course_id': '1655', 'course_name': 'Lake Wales Country Club'}]"
86,https://foreupsoftware.com/index.php/booking/19009#/welcome,Lake Wissota Golf,"16108 97th Ave. Chippewa Falls, WI 54729 USA ","9, 18","[{'course_id': '847', 'course_name': 'Lake Wissota'}]"
87,https://foreupsoftware.com/index.php/booking/19380#/welcome,Lakeside Golf Club,"405 Watts Lane Canyon Lake, TX 78133 USA ","9, 18","[{'course_id': '1548', 'course_name': 'Lakeside Golf Club'}]"
88,https://foreupsoftware.com/index.php/booking/19257#/welcome,Largo Golf Course,"12500 Vonn Rd Largo, FL 33774 USA ","9, 18, Both","[{'course_id': '1351', 'course_name': 'Largo Golf Course'}]"
