Website Path,Course Title,Location,Courses Values,Courses,Holes
https://foreupsoftware.com/index.php/booking/19048#/welcome,Ironwood Golf Club,"10955 Fall Road Fishers, IN 46037 USA ","1411, 1412","Ironwood 18, Ironwood 9",18
https://foreupsoftware.com/index.php/booking/19479#/welcome,Island Pines Golf Club,"5700 Indian Pines Blvd Ft. Pierce, FL 34951 USA ",1719,Island Pines Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19727#/welcome,Kilmarlic Golf Club,"215 Westside Lane Powell's Point, NC 27966 USA ",2312,Kilmarlic Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19742#/welcome,King City Golf Course,"15355 SW Royalty Pkwy King City, OR 97224 USA ",2376,King City Golf Course,"9, 18"
https://foreupsoftware.com/index.php/booking/19837#/welcome,K's Creek Golf Club,"1265 Sandusky Rd Jacksonville, IL 62650 USA ","9052, 9053","Simulator Bay 2, Simulator Bay 3","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19352#/welcome,Lake Almanor Country Club,"951 Clifford Dr. Lake Almanor, CA 96137 USA ",1480,Lake Almanor Country Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19505#/welcome,Lake Hallie Golf,"2196 110th St Chippewa Falls, WI 54729 USA ",1768,Lake Hallie Golf Club,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19450#/welcome,Lake Oswego Public Golf Course,"17525 Stafford Road Lake Oswego, OR 97034 USA ","1660, 3135","Lake Oswego Public Golf Course, New Tee Sheet","9, 18"
https://foreupsoftware.com/index.php/booking/19345#/welcome,Lake St. Catherine Country Club,"2395 VT-30 Poultney, VT 05764 USA ",1466,Lake St. Catherine,
https://foreupsoftware.com/index.php/booking/19157#/welcome,Lake Toccoa Facilities,"201 Black Mountain Road Toccoa, GA 30577 USA ","1201, 1189, 10830","April 1 - October 1, Lake Toccoa, Winter",
https://foreupsoftware.com/index.php/booking/19446#/welcome,Lake Wales Country Club,"2925 Highway 60 East Lake Wales, FL 33898 USA ",1655,Lake Wales Country Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19009#/welcome,Lake Wissota Golf,"16108 97th Ave. Chippewa Falls, WI 54729 USA ",847,Lake Wissota,"9, 18"
https://foreupsoftware.com/index.php/booking/19380#/welcome,Lakeside Golf Club,"405 Watts Lane Canyon Lake, TX 78133 USA ",1548,Lakeside Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19257#/welcome,Largo Golf Course,"12500 Vonn Rd Largo, FL 33774 USA ",1351,Largo Golf Course,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19651#/welcome,Lawrenceburg Golf & Country Club,"1901 West Gaines St. Lawrenceburg, TN 38464 USA ",2074,Lawrenceburg Golf & Country Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19522#/welcome,Legacy Hills,"299 W Johnson Rd La Porte, IN 46350 USA ",1782,Legacy Hills,
https://foreupsoftware.com/index.php/booking/19464#/welcome,Linville Falls Golf Club,"210 Blue Ridge Dr N Marion, NC 28752 USA ",1685,Linville Falls Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19035#/welcome,Logan River Golf Course,"550 West 1000 South Logan, UT 84321 USA ",799,Logan River,
https://foreupsoftware.com/index.php/booking/19671#/welcome,Mangrove Bay,"875 62nd Ave. NE St. Petersburg, FL 33702 USA ",2149,Mangrove Bay,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19430#/welcome,Manitou Passage Golf Club,"4600 Club Drive Cedar, MI 49621 USA ",1608,Manitou Passage Golf Club,
https://foreupsoftware.com/index.php/booking/19060#/welcome,Markdale Golf & Curling Club,"85 Edith Avenue Markdale, ON N0C1H0 CA ","2767, 851","New Tee Sheet, Weekday Tee Sheet",18
https://foreupsoftware.com/index.php/booking/19179#/welcome,Mason Rudolph Golf Course,"1514 Golf Club Lane Clarksville, TN 37043 USA ",2479,Mason Rudolph,
https://foreupsoftware.com/index.php/booking/19375#/welcome,Massanutten Resort,"1822 Resort Drive McGaheysville, VA 22840 USA ","1541, 1542","Mountain Greens GC, Woodstone Meadows GC",
https://foreupsoftware.com/index.php/booking/19103#/welcome,Menifee Lakes Country Club,"29875 Menifee Lakes Dr Menifee, CA 92584 USA ","968, 954, 1676","Palms Course, Lakes Course, Seven Hills Golf Course","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19531#/welcome,Meriwether National Golf Club,"5200 Rood Bridge Road Hillsboro, OR 97123 USA ",1793,Meriwether National Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19416#/welcome,Mount Vintage Golf Club,"375 Mount Vintage Plantation Drive North Augusta, SC 29860 USA ","1944, 1916","3rd Nine, Mount Vintage Golf Club","9, 18"
https://foreupsoftware.com/index.php/booking/19196#/welcome,Mt. Ogden Golf Course,"1787 Constitution Way Ogden, UT 84401 USA ",1259,Mt. Ogden,
https://foreupsoftware.com/index.php/booking/19227#/welcome,Nonesuch River Golf Club,"304 Gorham Rd Scarborough, ME 04074 USA ",1301,Nonesuch,
https://foreupsoftware.com/index.php/booking/19597#/welcome,Oak Hills Golf Club Ltd.,"1538 Frankford-Stirling Rd Stirling, ON K0K 3E0 CA ",1890,Highland Course / Glen Course,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19156#/welcome,Oakland Golf Club,"100 N Parson Oakland, NE 68045 USA ",1188,Oakland,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19530#/welcome,Orchard Creek Golf Club,"6700 Dunnsville Road Altamont, NY 12009 USA ",1791,Orchard Creek Golf Club,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19029#/welcome,Palo Duro Creek,"50 Country Club Dr. Canyon, TX 79015 USA ",790,Palo Duro Creek,
https://foreupsoftware.com/index.php/booking/19126#/welcome,Panther Creek Golf Club,"4641 State Route 1514 Utica, KY 42376 USA ",1110,Panther Creek,"9, 18"
https://foreupsoftware.com/index.php/booking/19087#/welcome,Papio Greens Golf Center,"11050 South 66th Street Papillion, NE 68133 USA ",924,Papio Greens,"9, 18"
https://foreupsoftware.com/index.php/booking/19683#/welcome,PCC-WRC,"69772 HWY 395 S PENDLETON, OR 97801 USA ",2181,Pendleton Golf Club - WRC,"9, 18"
https://foreupsoftware.com/index.php/booking/19006#/welcome,Pebble Creek Golf Club,"14000 Clubhouse Lane, PO Box 250 Becker, MN 55308 USA ","1680, 1681","Championship, Local 9",
https://foreupsoftware.com/index.php/booking/19730#/welcome,Peninsula Golf Course,"9604 Pacific Hwy Long Beach, WA 98631 USA ",2314,Peninsula Golf Course,
https://foreupsoftware.com/index.php/booking/19155#/welcome,Phoenix Lake Golf Course,"21448 Paseo de los Portales Sonora, CA 95370 USA ",1187,Phoenix Lake,9
https://foreupsoftware.com/index.php/booking/19532#/welcome,Pine Dunes Resort,"159 Private Road 7019 Frankston, TX 75763 USA ",1794,Pine Dunes Resort,
